legajo,nombre,apellido,dni,año de nacimiento,edad,regimen,categoria,region,email,observaciones,par-categoría,Mayúscula,Plus por cat
1011,Ali,Ramos,19673382,1995,=2024-E12,Personal,3,CA,quam@neceuismod.edu,"cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis",=ISEVEN(H12),=UPPER(C12),"=IF(H12>=3, ""Si corresponde"", "" "")"
1012,Kiona,Mccoy,17967486,1997,=2024-E13,Funcionarios,2,AR,id.libero.Donec@orciUt.edu,"luctus sit amet, faucibus ut, nulla. Cras eu tellus eu",=ISEVEN(H13),=UPPER(C13),"=IF(H13>=3, ""Si corresponde"", "" "")"
1013,Fritz,Bradford,11555837,1995,=2024-E14,Funcionarios,3,CA,est.Nunc@mattisCraseget.co.uk,Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed,=ISEVEN(H14),=UPPER(C14),"=IF(H14>=3, ""Si corresponde"", "" "")"
1014,Jamal,Petty,16618648,1987,=2024-E15,Personal,1,AR,Donec.sollicitudin@consequatnecmollis.edu,"in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit",=ISEVEN(H15),=UPPER(C15),"=IF(H15>=3, ""Si corresponde"", "" "")"
1015,Alika,Oneill,14232712,1992,=2024-E16,Personal,3,BA,augue@pharetra.com,"nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus",=ISEVEN(H16),=UPPER(C16),"=IF(H16>=3, ""Si corresponde"", "" "")"
1016,Daryl,Baird,18573982,1995,=2024-E17,Personal,2,EX,Vivamus.molestie@Crasegetnisi.ca,mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam,=ISEVEN(H17),=UPPER(C17),"=IF(H17>=3, ""Si corresponde"", "" "")"
1017,Christopher,Mullen,17202276,1982,=2024-E18,Funcionarios,1,PV,vitae.mauris@diam.edu,eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula.,=ISEVEN(H18),=UPPER(C18),"=IF(H18>=3, ""Si corresponde"", "" "")"
1018,Rhonda,Baird,17902734,1982,=2024-E19,Funcionarios,1,AN,Curabitur@atarcuVestibulum.org,nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus,=ISEVEN(H19),=UPPER(C19),"=IF(H19>=3, ""Si corresponde"", "" "")"
1019,Vera,Harvey,13894870,1977,=2024-E20,Funcionarios,2,PV,pede.ultrices@congue.org,dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In,=ISEVEN(H20),=UPPER(C20),"=IF(H20>=3, ""Si corresponde"", "" "")"
1020,Mercedes,Burks,19554253,1995,=2024-E21,Funcionarios,3,CA,convallis.est@Vivamusnon.edu,"eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc",=ISEVEN(H21),=UPPER(C21),"=IF(H21>=3, ""Si corresponde"", "" "")"
1021,Lillith,Gay,12797725,1992,=2024-E22,Personal,3,CV,Aliquam.adipiscing.lobortis@asollicitudinorci.org,"semper egestas, urna justo faucibus lectus, a sollicitudin orci sem",=ISEVEN(H22),=UPPER(C22),"=IF(H22>=3, ""Si corresponde"", "" "")"
1022,Leilani,Dominguez,16257253,1987,=2024-E23,Personal,2,CV,in.magna@estMauriseu.edu,nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae,=ISEVEN(H23),=UPPER(C23),"=IF(H23>=3, ""Si corresponde"", "" "")"
1023,Russell,Pate,15043162,1995,=2024-E24,Funcionarios,3,CV,per@Aliquamnisl.co.uk,"Donec tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem,",=ISEVEN(H24),=UPPER(C24),"=IF(H24>=3, ""Si corresponde"", "" "")"
1024,Wyoming,Dean,18675425,1995,=2024-E25,Personal,2,CV,Donec.fringilla.Donec@Duissit.com,cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam,=ISEVEN(H25),=UPPER(C25),"=IF(H25>=3, ""Si corresponde"", "" "")"
1025,Desirae,Irwin,14800857,1996,=2024-E26,Funcionarios,3,AN,dis.parturient@Crasvehicula.edu,"faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor",=ISEVEN(H26),=UPPER(C26),"=IF(H26>=3, ""Si corresponde"", "" "")"
1026,Zephania,Faulkner,11845690,1995,=2024-E27,Personal,1,CV,sem.vitae@fermentumrisusat.com,"tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec,",=ISEVEN(H27),=UPPER(C27),"=IF(H27>=3, ""Si corresponde"", "" "")"
1027,Amanda,Barrera,21225715,1987,=2024-E28,Personal,1,M,auctor@nonegestas.ca,"ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo",=ISEVEN(H28),=UPPER(C28),"=IF(H28>=3, ""Si corresponde"", "" "")"
1028,Charissa,Shields,20248162,1989,=2024-E29,Funcionarios,2,CA,tempus.mauris.erat@nequetellus.edu,"faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor",=ISEVEN(H29),=UPPER(C29),"=IF(H29>=3, ""Si corresponde"", "" "")"
1029,Devin,Golden,20043192,1992,=2024-E30,Funcionarios,1,CA,ligula@semsempererat.org,"sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum",=ISEVEN(H30),=UPPER(C30),"=IF(H30>=3, ""Si corresponde"", "" "")"
1030,Isabelle,Parker,15935537,1996,=2024-E31,Funcionarios,1,PA,Quisque.ornare@mauris.com,orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean,=ISEVEN(H31),=UPPER(C31),"=IF(H31>=3, ""Si corresponde"", "" "")"
1031,Erica,Bates,11531519,1982,=2024-E32,Personal,3,CL,ac.mi.eleifend@velarcu.edu,ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et,=ISEVEN(H32),=UPPER(C32),"=IF(H32>=3, ""Si corresponde"", "" "")"
1032,Bethany,Fischer,20247501,1995,=2024-E33,Funcionarios,3,MA,mollis@massaQuisque.edu,nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam,=ISEVEN(H33),=UPPER(C33),"=IF(H33>=3, ""Si corresponde"", "" "")"
1033,Marcia,Johnston,14338980,1981,=2024-E34,Personal,2,M,Donec.felis@consectetuer.com,"quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod",=ISEVEN(H34),=UPPER(C34),"=IF(H34>=3, ""Si corresponde"", "" "")"
1034,Wayne,Mcfadden,12953496,1996,=2024-E35,Personal,3,AN,malesuada.fringilla@eutellusPhasellus.com,"eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed",=ISEVEN(H35),=UPPER(C35),"=IF(H35>=3, ""Si corresponde"", "" "")"
1035,Hilda,Warner,18448614,1993,=2024-E36,Personal,2,AN,vitae.diam.Proin@laciniavitae.edu,pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero,=ISEVEN(H36),=UPPER(C36),"=IF(H36>=3, ""Si corresponde"", "" "")"
1036,Chadwick,Gonzalez,20845943,1992,=2024-E37,Personal,3,GA,orci.sem.eget@scelerisquescelerisquedui.ca,"ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu",=ISEVEN(H37),=UPPER(C37),"=IF(H37>=3, ""Si corresponde"", "" "")"
1037,Kevyn,Bailey,19460024,1977,=2024-E38,Funcionarios,2,MA,aliquet.libero@lobortisrisusIn.ca,vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim.,=ISEVEN(H38),=UPPER(C38),"=IF(H38>=3, ""Si corresponde"", "" "")"
1038,Cailin,Holmes,18265564,1989,=2024-E39,Funcionarios,3,CA,et.magnis@necante.edu,"et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum.",=ISEVEN(H39),=UPPER(C39),"=IF(H39>=3, ""Si corresponde"", "" "")"
1039,Cade,Humphrey,14573345,1986,=2024-E40,Funcionarios,3,LR,facilisi.Sed@Curabituregestas.edu,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,=ISEVEN(H40),=UPPER(C40),"=IF(H40>=3, ""Si corresponde"", "" "")"
1040,Sigourney,Farmer,17691121,1996,=2024-E41,Personal,2,AN,eros.Proin.ultrices@vitae.edu,"mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras",=ISEVEN(H41),=UPPER(C41),"=IF(H41>=3, ""Si corresponde"", "" "")"
1041,Cara,Gallagher,18408801,1997,=2024-E42,Funcionarios,3,A,metus.urna.convallis@lorem.ca,arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing.,=ISEVEN(H42),=UPPER(C42),"=IF(H42>=3, ""Si corresponde"", "" "")"
1042,Clare,Stanley,19901361,1992,=2024-E43,Personal,2,AN,dictum@Inscelerisquescelerisque.org,velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.,=ISEVEN(H43),=UPPER(C43),"=IF(H43>=3, ""Si corresponde"", "" "")"
1043,Peter,Beard,16257912,1987,=2024-E44,Funcionarios,2,N,aliquet.metus.urna@dolordolor.org,Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio.,=ISEVEN(H44),=UPPER(C44),"=IF(H44>=3, ""Si corresponde"", "" "")"
1044,Laith,Erickson,17983366,1994,=2024-E45,Personal,3,MA,imperdiet@malesuadafames.org,neque non quam. Pellentesque habitant morbi tristique senectus et netus,=ISEVEN(H45),=UPPER(C45),"=IF(H45>=3, ""Si corresponde"", "" "")"
1045,Aurelia,Singleton,20278918,1987,=2024-E46,Personal,3,CA,Integer.vitae.nibh@Sed.ca,"ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat",=ISEVEN(H46),=UPPER(C46),"=IF(H46>=3, ""Si corresponde"", "" "")"
1046,Cyrus,Griffith,17640735,1991,=2024-E47,Personal,1,GA,Suspendisse@Fuscemilorem.org,tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget,=ISEVEN(H47),=UPPER(C47),"=IF(H47>=3, ""Si corresponde"", "" "")"
1047,Ruth,Elliott,16763790,1996,=2024-E48,Funcionarios,2,AS,enim.diam.vel@utsemNulla.net,"aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a,",=ISEVEN(H48),=UPPER(C48),"=IF(H48>=3, ""Si corresponde"", "" "")"
1048,Kibo,Gentry,17700082,1993,=2024-E49,Funcionarios,3,EX,laoreet.ipsum.Curabitur@Sed.edu,sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla,=ISEVEN(H49),=UPPER(C49),"=IF(H49>=3, ""Si corresponde"", "" "")"
1049,Ray,Nichols,20969072,1987,=2024-E50,Personal,2,CA,eros.Nam@turpis.ca,"a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",=ISEVEN(H50),=UPPER(C50),"=IF(H50>=3, ""Si corresponde"", "" "")"
1050,Kelsie,Baldwin,13054826,1987,=2024-E51,Personal,1,BA,velit@ac.ca,Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy,=ISEVEN(H51),=UPPER(C51),"=IF(H51>=3, ""Si corresponde"", "" "")"
1051,Palmer,Hardin,19633622,1999,=2024-E52,Funcionarios,3,CA,massa@Cras.ca,sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis,=ISEVEN(H52),=UPPER(C52),"=IF(H52>=3, ""Si corresponde"", "" "")"
1052,Dorian,Britt,19771518,1995,=2024-E53,Funcionarios,1,CV,vel.mauris.Integer@eudui.edu,"vulputate, nisi sem semper erat, in consectetuer ipsum nunc id",=ISEVEN(H53),=UPPER(C53),"=IF(H53>=3, ""Si corresponde"", "" "")"
1053,Mara,Glass,19128190,1991,=2024-E54,Funcionarios,3,AN,diam.dictum@enimconsequatpurus.net,volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat,=ISEVEN(H54),=UPPER(C54),"=IF(H54>=3, ""Si corresponde"", "" "")"
1054,Jemima,Potts,22210104,1998,=2024-E55,Personal,2,G,erat.in.consectetuer@nec.edu,ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam,=ISEVEN(H55),=UPPER(C55),"=IF(H55>=3, ""Si corresponde"", "" "")"
1055,Martena,Petty,14996171,1994,=2024-E56,Funcionarios,1,CL,amet.orci@orci.ca,"justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate,",=ISEVEN(H56),=UPPER(C56),"=IF(H56>=3, ""Si corresponde"", "" "")"
1056,Yeo,Miller,20275087,1994,=2024-E57,Personal,2,GA,nonummy.ultricies@pedemalesuada.edu,"consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia",=ISEVEN(H57),=UPPER(C57),"=IF(H57>=3, ""Si corresponde"", "" "")"
1057,Donna,Foster,21976818,1986,=2024-E58,Personal,2,GA,nec.imperdiet@velitegestaslacinia.org,mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada.,=ISEVEN(H58),=UPPER(C58),"=IF(H58>=3, ""Si corresponde"", "" "")"
1058,Lance,Herrera,19230607,1996,=2024-E59,Funcionarios,3,MU,tempus@vitaesodales.ca,"ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet",=ISEVEN(H59),=UPPER(C59),"=IF(H59>=3, ""Si corresponde"", "" "")"
1059,Deirdre,Leon,14305896,1989,=2024-E60,Personal,3,GA,nec.enim.Nunc@arcuNunc.net,in sodales elit erat vitae risus. Duis a mi fringilla,=ISEVEN(H60),=UPPER(C60),"=IF(H60>=3, ""Si corresponde"", "" "")"
1060,Kamal,Clements,14587367,1994,=2024-E61,Personal,2,AN,dui@sitametultricies.com,"cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis",=ISEVEN(H61),=UPPER(C61),"=IF(H61>=3, ""Si corresponde"", "" "")"
1061,Joshua,Shepard,13430846,1982,=2024-E62,Personal,3,G,Mauris.eu.turpis@etnetuset.net,senectus et netus et malesuada fames ac turpis egestas. Fusce,=ISEVEN(H62),=UPPER(C62),"=IF(H62>=3, ""Si corresponde"", "" "")"
1062,Forrest,Chandler,12268910,1997,=2024-E63,Personal,2,MU,magna.Ut.tincidunt@dapibus.edu,vel arcu. Curabitur ut odio vel est tempor bibendum. Donec,=ISEVEN(H63),=UPPER(C63),"=IF(H63>=3, ""Si corresponde"", "" "")"
1063,Uriel,Frank,16843313,1994,=2024-E64,Personal,1,PV,ligula.elit@ametrisus.com,in faucibus orci luctus et ultrices posuere cubilia Curae,=ISEVEN(H64),=UPPER(C64),"=IF(H64>=3, ""Si corresponde"", "" "")"
1064,Germaine,Clarke,16056781,1994,=2024-E65,Personal,3,NA,magna@tinciduntduiaugue.co.uk,"ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare,",=ISEVEN(H65),=UPPER(C65),"=IF(H65>=3, ""Si corresponde"", "" "")"
1065,Quail,Gray,20914116,1989,=2024-E66,Personal,2,CA,purus@elementum.edu,"Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non,",=ISEVEN(H66),=UPPER(C66),"=IF(H66>=3, ""Si corresponde"", "" "")"
1066,Quail,Ward,12000409,1992,=2024-E67,Funcionarios,2,AN,mauris.eu@rutrumloremac.co.uk,"odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque",=ISEVEN(H67),=UPPER(C67),"=IF(H67>=3, ""Si corresponde"", "" "")"
1067,Akeem,Collins,18641664,1998,=2024-E68,Funcionarios,3,EX,elit.Curabitur.sed@vel.com,Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin,=ISEVEN(H68),=UPPER(C68),"=IF(H68>=3, ""Si corresponde"", "" "")"
1068,Ryan,Pruitt,20433503,1987,=2024-E69,Funcionarios,1,AR,lacus.Quisque.purus@inaliquetlobortis.org,"non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat",=ISEVEN(H69),=UPPER(C69),"=IF(H69>=3, ""Si corresponde"", "" "")"
1069,Kane,Johnston,13231385,1989,=2024-E70,Personal,1,AN,ut.pellentesque@semper.org,erat neque non quam. Pellentesque habitant morbi tristique senectus et,=ISEVEN(H70),=UPPER(C70),"=IF(H70>=3, ""Si corresponde"", "" "")"
1070,Olympia,Henson,22086694,1994,=2024-E71,Personal,3,CV,et.malesuada.fames@gravidasit.edu,"interdum. Sed auctor odio a purus. Duis elementum, dui quis",=ISEVEN(H71),=UPPER(C71),"=IF(H71>=3, ""Si corresponde"", "" "")"
1071,Theodore,Wiggins,18783128,1982,=2024-E72,Personal,2,CV,diam@adlitoratorquent.ca,vel arcu eu odio tristique pharetra. Quisque ac libero nec,=ISEVEN(H72),=UPPER(C72),"=IF(H72>=3, ""Si corresponde"", "" "")"
1072,Peter,Spence,13583138,1997,=2024-E73,Funcionarios,1,AN,euismod.enim.Etiam@Fusce.edu,"Duis elementum, dui quis accumsan convallis, ante lectus convallis est,",=ISEVEN(H73),=UPPER(C73),"=IF(H73>=3, ""Si corresponde"", "" "")"
1073,Iris,Carlson,18961774,1994,=2024-E74,Funcionarios,1,MA,consequat.enim.diam@natoquepenatibuset.net,augue ac ipsum. Phasellus vitae mauris sit amet lorem semper,=ISEVEN(H74),=UPPER(C74),"=IF(H74>=3, ""Si corresponde"", "" "")"
1074,Hiroko,Mercado,13044406,1994,=2024-E75,Personal,2,MU,Cras.lorem@Aliquam.org,"per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel",=ISEVEN(H75),=UPPER(C75),"=IF(H75>=3, ""Si corresponde"", "" "")"
1075,Mollie,Powell,17662361,1989,=2024-E76,Funcionarios,1,CA,scelerisque.dui.Suspendisse@posuereenim.edu,mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In,=ISEVEN(H76),=UPPER(C76),"=IF(H76>=3, ""Si corresponde"", "" "")"
1076,Zia,Oneal,19560372,1992,=2024-E77,Funcionarios,3,M,nulla.ante@Aliquamgravida.edu,Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada,=ISEVEN(H77),=UPPER(C77),"=IF(H77>=3, ""Si corresponde"", "" "")"
1077,Wendy,Shepard,17315884,1998,=2024-E78,Personal,2,CL,arcu.Sed.et@Sedet.ca,"Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper,",=ISEVEN(H78),=UPPER(C78),"=IF(H78>=3, ""Si corresponde"", "" "")"
1078,Cassady,Mcgowan,16823831,1987,=2024-E79,Funcionarios,2,CA,Cum.sociis.natoque@scelerisque.co.uk,"sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque",=ISEVEN(H79),=UPPER(C79),"=IF(H79>=3, ""Si corresponde"", "" "")"
1079,Lucas,Pace,11554694,1995,=2024-E80,Funcionarios,1,AN,pellentesque.Sed.dictum@Duiselementumdui.co.uk,Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula,=ISEVEN(H80),=UPPER(C80),"=IF(H80>=3, ""Si corresponde"", "" "")"
1080,Yuri,Chen,19567907,1997,=2024-E81,Funcionarios,2,AS,lacinia.vitae.sodales@velnislQuisque.ca,"id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis",=ISEVEN(H81),=UPPER(C81),"=IF(H81>=3, ""Si corresponde"", "" "")"
1081,Penelope,Ward,13043119,1995,=2024-E82,Personal,1,CV,cubilia.Curae@dictum.net,"sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices",=ISEVEN(H82),=UPPER(C82),"=IF(H82>=3, ""Si corresponde"", "" "")"
1082,Daniel,Macias,19940120,1987,=2024-E83,Funcionarios,2,CA,vel.quam@faucibusorciluctus.org,"tellus non magna. Nam ligula elit, pretium et, rutrum non,",=ISEVEN(H83),=UPPER(C83),"=IF(H83>=3, ""Si corresponde"", "" "")"
1083,Sybill,Hays,11615514,1992,=2024-E84,Funcionarios,3,MA,gravida.non.sollicitudin@turpisAliquam.ca,"ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus",=ISEVEN(H84),=UPPER(C84),"=IF(H84>=3, ""Si corresponde"", "" "")"
1084,Leroy,Grant,20907694,1995,=2024-E85,Funcionarios,1,CL,dis.parturient@quam.net,pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit,=ISEVEN(H85),=UPPER(C85),"=IF(H85>=3, ""Si corresponde"", "" "")"
1085,Donna,Moreno,21175818,1982,=2024-E86,Personal,3,CV,euismod.ac.fermentum@inaliquet.ca,euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas,=ISEVEN(H86),=UPPER(C86),"=IF(H86>=3, ""Si corresponde"", "" "")"
1086,Nola,Everett,18822456,1982,=2024-E87,Personal,2,CA,dui@Vivamuseuismodurna.org,Praesent eu nulla at sem molestie sodales. Mauris blandit enim,=ISEVEN(H87),=UPPER(C87),"=IF(H87>=3, ""Si corresponde"", "" "")"
1087,Quentin,Mccormick,16380643,1977,=2024-E88,Funcionarios,3,AN,posuere@metus.co.uk,urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum,=ISEVEN(H88),=UPPER(C88),"=IF(H88>=3, ""Si corresponde"", "" "")"
1088,Sylvia,Stewart,18715482,1995,=2024-E89,Personal,2,CL,et@ultricies.net,"ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu,",=ISEVEN(H89),=UPPER(C89),"=IF(H89>=3, ""Si corresponde"", "" "")"
1089,Quinn,Bender,11906171,1992,=2024-E90,Funcionarios,3,AN,adipiscing@Curabiturdictum.com,nulla at sem molestie sodales. Mauris blandit enim consequat purus.,=ISEVEN(H90),=UPPER(C90),"=IF(H90>=3, ""Si corresponde"", "" "")"
1090,Bree,Prince,15606658,1987,=2024-E91,Personal,3,CN,vel.venenatis.vel@Aliquameratvolutpat.co.uk,Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc,=ISEVEN(H91),=UPPER(C91),"=IF(H91>=3, ""Si corresponde"", "" "")"
1091,Illana,Swanson,17195622,1995,=2024-E92,Personal,2,CA,egestas@iaculis.net,Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor,=ISEVEN(H92),=UPPER(C92),"=IF(H92>=3, ""Si corresponde"", "" "")"
1092,Karina,Kaufman,12463540,1995,=2024-E93,Funcionarios,1,AR,aliquam.eu.accumsan@tempor.ca,"dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu",=ISEVEN(H93),=UPPER(C93),"=IF(H93>=3, ""Si corresponde"", "" "")"
1093,Fredericka,Goodman,15428624,1996,=2024-E94,Funcionarios,3,CA,Sed.neque@eleifendCras.com,"hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer,",=ISEVEN(H94),=UPPER(C94),"=IF(H94>=3, ""Si corresponde"", "" "")"
1094,Justine,Ellison,21209714,1995,=2024-E95,Personal,1,AN,bibendum.fermentum.metus@aptenttaciti.edu,"placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet,",=ISEVEN(H95),=UPPER(C95),"=IF(H95>=3, ""Si corresponde"", "" "")"
1095,Lareina,Byers,14049480,1987,=2024-E96,Personal,2,CA,tellus.id@cursuspurus.net,"purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis",=ISEVEN(H96),=UPPER(C96),"=IF(H96>=3, ""Si corresponde"", "" "")"
1096,Julian,Daniels,16963840,1989,=2024-E97,Funcionarios,2,CA,congue@tellus.edu,sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie,=ISEVEN(H97),=UPPER(C97),"=IF(H97>=3, ""Si corresponde"", "" "")"
1097,Xaviera,Decker,13437760,1992,=2024-E98,Funcionarios,3,CV,quam.elementum.at@diam.net,"urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus",=ISEVEN(H98),=UPPER(C98),"=IF(H98>=3, ""Si corresponde"", "" "")"
1098,Genevieve,Sparks,12295577,1996,=2024-E99,Funcionarios,1,CV,Quisque.fringilla@bibendumullamcorperDuis.net,"vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur",=ISEVEN(H99),=UPPER(C99),"=IF(H99>=3, ""Si corresponde"", "" "")"
1099,Troy,Page,14087357,1982,=2024-E100,Funcionarios,2,CL,feugiat@ligula.edu,quis diam. Pellentesque habitant morbi tristique senectus et netus et,=ISEVEN(H100),=UPPER(C100),"=IF(H100>=3, ""Si corresponde"", "" "")"
1100,Derek,Bryant,17787932,1995,=2024-E101,Personal,3,A,dolor.sit@et.co.uk,"Sed congue, elit sed consequat auctor, nunc nulla vulputate dui,",=ISEVEN(H101),=UPPER(C101),"=IF(H101>=3, ""Si corresponde"", "" "")"
